"","FIPS","SVI","Est_Hest","Party","NHW","mean_mobility","sum_deaths"
"143",5121,0.72,0.2134,0.184931506849315,0.939,0.842093499749034,0.00289564539481011
"144",5123,0.97,0.2279,0.526438796377447,0.3997,0.827826075518398,0.00180043210370489
"145",5125,0.33,0.198,0.28876582278481,0.8459,0.812641021644791,0.0014864787605054
"146",5127,0.89,0.2154,0.140203193033382,0.8435,0.822908223367809,0.00136173523976267
"147",5129,0.44,0.2042,0.148747786491272,0.9313,0.873147795683007,0.00228397411496003
"148",5131,0.83,0.2068,0.317106271204991,0.6956,0.775204736795911,0.00226086820468289
"149",5133,0.77,0.2154,0.2232,0.5728,0.8644504223751,0.00182277885576527
"150",5135,0.62,0.2177,0.190567066521265,0.9344,0.820829268982286,0.00298130948285747
"151",5137,0.51,0.2177,0.203588681849551,0.9465,0.8160017438205,0.00255877178954102
"152",5139,0.81,0.1967,0.347652845224754,0.6052,0.810386481128527,0.00305051445116592
"153",5141,0.72,0.2177,0.208863248983873,0.9347,0.835263726573852,0.0014505893019039
"154",5143,0.67,0.2044,0.479852838121934,0.7089,0.783306189442765,0.00148001354588669
"155",5145,0.74,0.2265,0.198209549071618,0.8807,0.834319510159126,0.00154914733406981
"156",5147,0.85,0.2265,0.356815339724885,0.6939,0.807570763009845,0.00253164556962025
"157",5149,0.88,0.2091,0.197235023041475,0.7527,0.8294016341302,0.00332692938475235
"158",6001,0.47,0.0479,0.819211160155338,0.3141,0.709217396897754,0.000785602355969411
"159",6003,0.73,0.0779,0.661111111111111,0.5303,0.776464045152121,0
"160",6005,0.53,0.0779,0.375057502990156,0.7816,0.730709216587286,0.00115717448178708
"161",6007,0.81,0.079,0.508552180402598,0.7198,0.715411905744905,0.000935278713056491
"162",6009,0.23,0.0779,0.378180996837826,0.8094,0.774693206985441,0.00119812656573358
"163",6011,0.74,0.0821,0.415254237288136,0.3531,0.73236155587527,0.000696152596649185
"164",6013,0.41,0.0543,0.731447503175158,0.4383,0.718634507623665,0.000710863907705591
"165",6015,0.97,0.0923,0.419913808583229,0.6193,0.749254917941097,0.000323601323169855
"166",6017,0.18,0.0629,0.454974924862726,0.7782,0.719046418553697,0.000596340027898342
"167",6019,0.96,0.0706,0.539946683674183,0.2942,0.735507550054622,0.00172354947097441
"168",6021,0.89,0.0821,0.361276903599204,0.5147,0.766494186751821,0.000669179022998626
"169",6023,0.76,0.0821,0.672818539781779,0.7435,0.710205731075633,0.000309830478466782
"170",6025,1,0.0748,0.624547501125619,0.1064,0.749942076674986,0.00412217531661286
"171",6027,0.57,0.0779,0.500756429652042,0.6215,0.698688335766333,0.00205111148068075
"172",6029,0.97,0.0821,0.447762296457949,0.3416,0.742682334951123,0.00155631735988145
"173",6031,0.97,0.0892,0.437188749386266,0.3221,0.764960025509153,0.00164116647051131
"174",6033,0.92,0.0859,0.532390250855188,0.705,0.718670654600741,0.000714441027552574
"175",6035,0.6,0.0923,0.237828192709661,0.6543,0.773326228298753,0.000621463382723318
"176",6037,0.77,0.0602,0.725583105656721,0.262,0.718273401632892,0.00243388181837289
"177",6039,0.95,0.082,0.440908917900506,0.3413,0.763140047458957,0.00155090988832178
"178",6041,0.27,0.0496,0.839032047089601,0.7115,0.68633187642113,0.000888627881279315
"179",6043,0.53,0.0779,0.407252440725244,0.7999,0.748676748887468,0.000406905772249026
"180",6045,0.88,0.0859,0.684487145948774,0.6519,0.71527601992017,0.00062248556179322
"181",6047,0.97,0.0796,0.554272073132099,0.2765,0.750395744781615,0.0016637856525497
"182",6049,0.75,0.0923,0.270016435783048,0.7769,0.710125802762382,0.000339328130302002
"183",6051,0.14,0.0779,0.614924915721728,0.6505,0.70583325640789,0.00020769869842149
"184",6053,0.8,0.0677,0.711086289094676,0.2993,0.72813463848415,0.000960694464602901
"185",6055,0.51,0.0565,0.706694281701729,0.5243,0.692976011087473,0.000602567080961784
"186",6057,0.2,0.0726,0.575865564319427,0.8516,0.713570027389021,0.000942308656207709
"187",6059,0.42,0.0537,0.546128934651095,0.4059,0.715764721947173,0.00160689386754131
"188",6061,0.15,0.0581,0.465950461507606,0.7266,0.709136733773833,0.000748125293413234
"189",6063,0.27,0.0923,0.41441032164274,0.8314,0.752233949534157,0.000212686765566013
"190",6065,0.79,0.069,0.540568905653732,0.3532,0.740498975053255,0.00180364988144321
"191",6067,0.73,0.0687,0.629534156035378,0.4472,0.73218266257067,0.0010753464110233
"192",6069,0.52,0.0772,0.624707633425473,0.3429,0.764554031159105,0.00100305693542224
"193",6071,0.9,0.074,0.554494742834345,0.2853,0.747114214881844,0.00219991422352798
"194",6073,0.56,0.0617,0.616490620829989,0.4556,0.721168824097062,0.00112930716855434
"195",6075,0.39,0.0388,0.87017831296468,0.4051,0.636300902907875,0.000629573625515995
"196",6077,0.89,0.0712,0.570932024731164,0.3185,0.748180215384047,0.00184478605205288
"197",6079,0.37,0.0674,0.56701295699408,0.6889,0.721427865337488,0.000914835523875794
"198",6081,0.26,0.0428,0.794091118420156,0.3924,0.686413587861393,0.000864888275480613
